3-4-5 100k
Max ram 27.4gb -> 24t
LSH=>Start=>2023-11-30 19:12:50.412111
LSH=>Finish=>2023-11-30 19:21:38.690907

U1:U26233,U43713,U83195,U84168,U96615
U2:U6333,U29172,U37224,U43516,U55891
U3:U30821,U51768,U53952,U90021,U92583
U4:U2581,U12917,U26158,U33051,U36624
U5:U2999,U10860,U22244,U28125,U28744
U6:U8197,U15144,U32426,U89510,U90397
U7:U6937,U35531,U55905,U84487,U98534
U8:U39,U9417,U16033,U48930,U59587
U9:U14917,U18425,U29970,U72332,U84658
U10:U16168,U23593,U24964,U27451,U39583
U11:U7520,U24444,U35393,U47176,U75371
U12:U129,U27410,U35668,U45022,U48825
U13:U4152,U42938,U75339,U84506,U95435
U14:U307,U394,U10499,U34325,U75692
U15:U18575,U20859,U22331,U35187,U35675
U16:U3227,U13677,U21794,U32360,U74726
U17:U12769,U35149,U65103,U85256,U92946
U18:U8243,U16644,U19652,U22434,U65992
U19:U16886,U52431,U65519,U87432,U89718
U20:U6238,U21165,U24688,U55142,U67461
U21:U38351,U56615,U66024,U67854,U82065
U22:U7718,U9034,U16398,U43788,U66929
U23:U17000,U18176,U30226,U57123,U90767
U24:U5734,U22057,U22813,U46177,U89696
U25:U1789,U23313,U38888,U83291,U96759
U26:U6109,U8659,U40373,U78527,U86714
U27:U12026,U25180,U69195,U69284,U92872
U28:U4238,U6328,U7474,U33996,U56040
U29:U1134,U48770,U66364,U73722,U79699
U30:U7156,U8598,U13383,U15848,U80789
U31:U938,U5922,U7178,U28360,U51355
U32:U42,U7837,U12937,U76678,U94462
U33:U8021,U13272,U14235,U28393,U98162
U34:U5014,U6898,U24385,U25675,U33377
U35:U12229,U14121,U26257,U31841,U62816
U36:U8742,U15730,U67031,U76419,U94173
U37:U6970,U16677,U30010,U82159,U89836
U38:U9300,U26107,U30655,U56018,U96286
U39:U8,U9417,U16033,U48930,U77186
U40:U6915,U15258,U19483,U24616,U39189
U41:U18247,U28591,U47600,U59561,U91783
U42:U28847,U68091,U87375,U92408,U99126
U43:U14738,U33067,U36459,U67339,U92968
U44:U2559,U4411,U47068,U55131,U94950
U45:U7018,U8127,U15670,U16256,U58285
U46:U3197,U8559,U13171,U82365,U91725
U47:U11586,U28513,U37529,U68711,U74772
U48:U50,U7719,U9435,U12257,U54145
U49:U19473,U33881,U80392,U82462,U98355
U50:U48,U7719,U9435,U31586,U54145
U51:U3846,U6928,U8793,U9258,U37622
U52:U10966,U50715,U70006,U75908,U98036
U53:U9733,U25265,U31408,U68273,U81280
U54:U54163,U80039,U81119,U93983,U96058
U55:U29345,U35420,U56764,U82797,U88151
U56:U12137,U13853,U24036,U48386,U90912
U57:U31298,U32277,U77867,U79333,U96183
U58:U25758,U28819,U30954,U36911,U52298
U59:U12751,U27439,U49055,U91531,U93613
U60:U27387,U57083,U68033,U87318,U95670
U61:U1293,U11437,U13311,U56743,U60628
U62:U25070,U63777,U78101,U90095,U97968
U63:U4223,U4820,U29109,U75720,U93071
U64:U11724,U13375,U19503,U79966,U94670
U65:U6833,U22425,U27944,U42207,U97104
U66:U5736,U41444,U59517,U71500,U94765
U67:U14166,U36234,U69946,U80489,U92159
U68:U9088,U58816,U62157,U70063,U91565
U69:U8730,U29392,U31074,U70963,U81580
U70:U10157,U11844,U13624,U18916,U31693
U71:U384,U5369,U7003,U12671,U27387
U72:U5820,U9996,U12831,U73016,U76697
U73:U16072,U20121,U77301,U93014,U99281
U74:U2441,U7395,U20548,U27469,U37428
U75:U45295,U65992,U67607,U74783,U76684
U76:U389,U45558,U64877,U69383,U86123
U77:U5847,U7179,U13193,U18268,U83915
U78:U341,U396,U445,U1176,U55233
U79:U6861,U7920,U15897,U20511,U33248
U80:U16222,U22257,U28845,U54311,U65199
U81:U7986,U38581,U47634,U64560,U77489
U82:U553,U5824,U18362,U27777,U48982
U83:U16998,U32487,U87740,U95299,U96108
U84:U16599,U16867,U24679,U33155,U86044
U85:U11462,U29163,U52359,U65118,U97285
U86:U24225,U34992,U41596,U67069,U91520
U87:U10635,U12457,U37230,U40349,U97798
U88:U36099,U53587,U75657,U78511,U82499
U89:U6518,U33246,U45342,U64985,U87361
U90:U3191,U21690,U42479,U77289,U81900
U91:U7417,U23064,U29838,U32928,U86873
U92:U4296,U5703,U8539,U40292,U69725
U93:U12372,U26311,U65755,U71265,U73755
U94:U8288,U14847,U16696,U32211,U40985
U95:U8817,U34984,U38744,U58735,U64183
U96:U36082,U47068,U55131,U75353,U94950
U97:U3779,U5987,U15809,U22097,U88182
U98:U1646,U17861,U40206,U65517,U98974
U99:U3303,U9764,U39145,U67723,U68670
U100:U4659,U7353,U53725,U79215,U90681
U101:U4540,U4574,U41720,U46146,U79261
U102:U4311,U11521,U13174,U24332,U42033
U103:U15467,U19247,U23823,U89326,U91674
U104:U2574,U4946,U11953,U14572,U46723
U105:U11692,U20096,U30567,U87528,U95410
U106:U2556,U13747,U78811,U87068,U96690
U107:U9499,U30718,U33866,U35746,U65655
U108:U5052,U16333,U25865,U56548,U92006
U109:U11213,U23728,U35588,U38047,U43573
U110:U72001,U72796,U75704,U92440,U99725
U111:U2622,U14159,U36272,U40386,U93101
U112:U979,U14070,U39449,U57843,U62065
U113:U1504,U30409,U32428,U40245,U51270
U114:U588,U10854,U11229,U32672,U98595
U115:U1658,U5903,U75916,U89904,U90242
U116:U7984,U20123,U52072,U70176,U95228
U117:U15122,U20095,U29299,U41777,U42024
U118:U336,U4629,U18182,U80398,U99530
U119:U13463,U37122,U40777,U54910,U66881
U120:U9106,U10609,U12237,U31822,U65972
U121:U259,U49249,U60281,U80629,U97713
U122:U6419,U52321,U69018,U79032,U85545
U123:U3816,U6884,U20512,U49760,U72335
U124:U327,U2598,U13766,U28820,U72213
U125:U14435,U48646,U52316,U57931,U78426
U126:U25218,U32278,U47150,U55396,U81738
U127:U14356,U38930,U45849,U51006,U83055
U128:U347,U6936,U28835,U42583,U54381
U129:U12,U27410,U33085,U48825,U96872
U130:U2182,U6459,U12579,U30517,U31635
U131:U9313,U21008,U33530,U34649,U44366
U132:U34255,U36725,U55775,U63298,U79783
U133:U10504,U13983,U18028,U23386,U71403
U134:U12583,U15098,U24636,U35237,U47991
U135:U8964,U16008,U22237,U54688,U89857
U136:U21677,U32251,U46332,U51694,U91270
U137:U4100,U10349,U16537,U17501,U22875
U138:U7756,U8814,U15319,U42182,U74753
U139:U1727,U8919,U12543,U70221,U92616
U140:U570,U7327,U7510,U7927,U41095
U141:U1898,U4340,U28826,U33095,U89601
U142:U6510,U12156,U34173,U57795,U68804
U143:U2187,U6550,U8514,U63516,U98719
U144:U11448,U40645,U59571,U64182,U70918
U145:U6311,U10481,U11543,U15219,U20896
U146:U56927,U57779,U67957,U68170,U75033
U147:U52701,U64792,U79045,U82948,U90434
U148:U5058,U12825,U34439,U58825,U64507
U149:U5649,U6088,U23601,U31641,U53034
U150:U15083,U43137,U50550,U76873,U82852
U151:U4494,U9356,U13830,U61105,U93458
U152:U10396,U10673,U30602,U37712,U74507
U153:U4528,U8042,U27236,U34478,U56865
U154:U42843,U52776,U68427,U87687,U99833
U155:U6481,U20826,U22923,U44653,U45135
U156:U153,U1986,U34663,U55025,U65624
U157:U4493,U11126,U41131,U47784,U97333
U158:U2454,U3861,U6073,U45132,U98721
U159:U17610,U20759,U24821,U59158,U96146
U160:U54913,U65913,U67136,U77204,U93673
U161:U7696,U21010,U44493,U49537,U56024
U162:U43055,U46625,U65102,U88800,U94828
U163:U9132,U61881,U69012,U79079,U96443
U164:U4059,U16671,U77533,U79883,U93796
U165:U5890,U71087,U75706,U94415,U97507
U166:U607,U2215,U4996,U11653,U37509
U167:U4981,U5547,U14428,U21485,U44460
U168:U9637,U11358,U17075,U21677,U82383
U169:U6027,U9145,U75030,U80291,U81279
U170:U216,U4600,U22363,U30459,U96102
U171:U7202,U7675,U60390,U64508,U84732
U172:U7349,U7605,U8447,U17638,U42248
U173:U1134,U8352,U69140,U73722,U84465
U174:U43122,U55259,U75806,U83186,U90912
U175:U27059,U50088,U51347,U67321,U98341
U176:U28786,U46033,U48535,U53033,U54824
U177:U4311,U11521,U13174,U24332,U32445
U178:U5166,U7758,U18458,U18490,U31918
U179:U2820,U24819,U25240,U37307,U47186
U180:U34902,U44465,U67637,U89664,U99545
U181:U2130,U17838,U23760,U33983,U44292
U182:U5420,U51401,U59418,U78491,U99353
U183:U3542,U19779,U57012,U80702,U85596
U184:U27455,U29758,U43204,U54670,U85500
U185:U9026,U9457,U50019,U90727,U99661
U186:U4240,U17668,U35839,U41007,U65756
U187:U52935,U72871,U80167,U83113,U98454
U188:U12547,U33161,U59224,U70397,U80550
U189:U15034,U55061,U75909,U80338,U80983
U190:U310,U50600,U56075,U66876,U69373
U191:U5852,U13524,U31196,U47415,U53440
U192:U30002,U63934,U71834,U78066,U78146
U193:U3574,U8270,U23065,U78660,U84223
U194:U1852,U2117,U14552,U30004,U70781
U195:U204,U18456,U42803,U84719,U99539
U196:U8319,U11005,U22555,U54570,U61444
U197:U1180,U9924,U14446,U39337,U92090
U198:U231,U7429,U44505,U48833,U58731
U199:U427,U3607,U14497,U24983,U68206
U200:U236,U40988,U67322,U70742,U87745
U201:U4202,U29675,U29973,U85417,U99206
U202:U1146,U19564,U40504,U51607,U65004
U203:U5956,U14931,U17867,U49518,U65672
U204:U195,U2477,U11200,U12116,U58654
U205:U2795,U10093,U21896,U30536,U92681
U206:U5003,U12397,U14753,U65992,U70442
U207:U15199,U17394,U66586,U76184,U86000
U208:U24086,U27387,U30582,U74925,U96226
U209:U1739,U3225,U4013,U6916,U8675
U210:U4808,U51399,U90328,U92355,U98886
U211:U4324,U5736,U36283,U77531,U94441
U212:U74659,U76394,U85659,U87004,U95181
U213:U2038,U4016,U10660,U38930,U65178
U214:U232,U4377,U33660,U43623,U92272
U215:U13082,U13790,U58963,U71767,U79889
U216:U170,U30459,U32367,U32380,U42885
U217:U8507,U8989,U15475,U18952,U20241
U218:U5977,U10562,U14250,U59437,U87703
U219:U6027,U26254,U30150,U62537,U80291
U220:U9333,U11187,U17589,U18736,U33951
U221:U2957,U5612,U5963,U66154,U89855
U222:U26772,U51746,U85592,U96361,U97549
U223:U6449,U35619,U38674,U52781,U67168
U224:U229,U6653,U7459,U18684,U56261
U225:U3039,U17326,U36589,U47160,U55158
U226:U78289,U80791,U82120,U85829,U96183
U227:U9082,U15568,U27927,U65688,U76199
U228:U8970,U35776,U44083,U47583,U53238
U229:U224,U6653,U7459,U56261,U80837
U230:U52455,U70240,U80588,U85972,U96756
U231:U198,U7429,U44505,U48833,U58731
U232:U214,U4377,U33660,U92272,U95223
U233:U36086,U65635,U87519,U93339,U98729
U234:U18571,U36264,U39981,U41088,U91890
U235:U278,U8559,U13171,U35247,U90639
U236:U67322,U70742,U83223,U87319,U87745
U237:U33502,U59486,U65338,U78571,U95813
U238:U13374,U20791,U28693,U36213,U38239
U239:U249,U13893,U73450,U80343,U98679
U240:U1975,U44140,U54553,U78601,U84340
U241:U19688,U41291,U58936,U70738,U77689
U242:U10438,U52270,U62221,U86084,U87863
U243:U4237,U10427,U14242,U50257,U88763
U244:U245,U11161,U40530,U49520,U88483
U245:U244,U255,U11161,U46503,U52794
U246:U53311,U73895,U74240,U81548,U89325
U247:U1369,U1527,U53329,U55616,U98517
U248:U4423,U33388,U51177,U72775,U91786
U249:U239,U73450,U80343,U98610,U98679
U250:U5840,U11339,U45063,U67322,U87745
U251:U4674,U38291,U75164,U78954,U91424
U252:U48209,U61203,U72793,U94138,U95450
U253:U2815,U39694,U60864,U61725,U72887
U254:U6315,U12672,U52022,U54019,U96991
U255:U244,U274,U773,U11161,U65363
U256:U4436,U8960,U18232,U19473,U75048
U257:U100,U1804,U4659,U79215,U90681
U258:U350,U7230,U28848,U78608,U90172
U259:U121,U52869,U65439,U80629,U81466
U260:U488,U497,U47691,U69856,U70000
U261:U286,U87899,U89429,U90785,U95832
U262:U37711,U48025,U77747,U88100,U90432
U263:U431,U5684,U53845,U68823,U75090
U264:U8197,U13031,U63980,U89325,U99547
U265:U1903,U6462,U52273,U75578,U87619
U266:U11411,U22198,U44613,U48696,U74505
U267:U409,U65313,U70102,U84836,U92139
U268:U517,U66555,U71223,U76924,U82107
U269:U21863,U27779,U28161,U47241,U94875
U270:U10279,U67687,U72566,U81990,U97017
U271:U68049,U69926,U80394,U94281,U96077
U272:U359,U461,U5547,U42185,U67327
U273:U1080,U2719,U60464,U77235,U93982
U274:U244,U255,U773,U11161,U65363
U275:U310,U348,U352,U28824,U97008
U276:U434,U54926,U84189,U90899,U96318
U277:U52251,U67681,U70963,U79826,U91982
U278:U235,U8559,U35247,U39196,U44177
U279:U283,U367,U15779,U69476,U89737
U280:U354,U49934,U50482,U53039,U57033
U281:U14140,U20057,U29068,U29996,U74438
U282:U4627,U5654,U58984,U82205,U96934
U283:U279,U367,U8395,U69476,U89737
U284:U2961,U9030,U60614,U62508,U66926
U285:U351,U6008,U60094,U70613,U88610
U286:U261,U87899,U89429,U90785,U95832
U287:U2925,U25913,U28777,U30276,U99787
U288:U10733,U33911,U70399,U81352,U97364
