Output file at 75k items in test
Max ram 17.75gb
LSH=>Start=>2023-11-29 22:15:42.528765
LSH=>Finish=>2023-11-29 22:24:32.078795 

U1:U4356,U26233,U43713
U2:U6333,U29172,U37224
U3:U30821,U51768,U53952
U4:U2581,U12917,U36624
U5:U2999,U10860,U22244
U6:U8197,U15144,U32426
U7:U6937,U35531,U55905
U8:U39,U9417,U16033
U9:U14917,U18425,U72332
U10:U16168,U23593,U24964
U11:U7520,U35393,U47176
U12:U129,U35668,U48825
U13:U4152,U15495,U42938
U14:U307,U394,U34325
U15:U18575,U20859,U35187
U16:U3227,U13677,U74726
U17:U12769,U35149,U65103
U18:U8243,U16644,U22434
U19:U16886,U52431,U65519
U20:U6238,U21165,U24688
U21:U38351,U66024,U67854
U22:U7718,U16398,U66929
U23:U18176,U30226,U57123
U24:U5734,U22057,U46177
U25:U1789,U23313,U38888
U26:U6109,U8659,U40373
U27:U12026,U25180,U69284
U28:U4238,U33996,U56040
U29:U1134,U48770,U66364
U30:U8598,U13383,U15848
U31:U938,U7178,U51355
U32:U42,U7837,U12937
U33:U13272,U14235,U28393
U34:U5014,U6898,U25675
U35:U12229,U26257,U31841
U36:U8742,U15730,U67031
U37:U6970,U16677,U30010
U38:U9300,U30655,U56018
U39:U8,U9417,U16033
U40:U15258,U19483,U24616
U41:U18247,U28591,U47600
U42:U28847,U33742,U68091
U43:U33067,U36459,U67339
U44:U2559,U4411,U55131
U45:U7018,U8127,U16256
U46:U3197,U8559,U13171
U47:U11586,U37529,U68711
U48:U50,U12257,U54145
U49:U19473,U27598,U33881
U50:U48,U31586,U54145
U51:U8793,U9258,U37622
U52:U10966,U50715,U70006
U53:U9733,U25265,U68273
U54:U33747,U54163,U60721
U55:U29345,U35420,U56764
U56:U12137,U13853,U48386
U57:U31298,U32277,U72246
U58:U28819,U36911,U52298
U59:U12751,U27439,U49055
U60:U27387,U57083,U68033
U61:U1293,U56743,U60628
U62:U25070,U63777,U65632
U63:U4223,U4820,U29109
U64:U11724,U13375,U19503
U65:U6833,U22425,U27944
U66:U5736,U41444,U59517
U67:U14166,U36234,U69946
U68:U9088,U58816,U62157
U69:U8730,U31074,U70963
U70:U10157,U11844,U18916
U71:U384,U5369,U12671
U72:U5820,U9996,U73016
U73:U16072,U20121,U25228
U74:U2441,U7395,U37428
U75:U45295,U65992,U67607
U76:U45558,U64877,U69383
U77:U5847,U13193,U18268
U78:U341,U396,U445
U79:U6861,U7920,U15897
U80:U16222,U22257,U28845
U81:U7986,U47634,U64560
U82:U553,U18362,U48982
U83:U3826,U16998,U32487
U84:U16599,U16867,U24679
U85:U11462,U29163,U52359
U86:U24225,U41596,U67069
U87:U10635,U37230,U40349
U88:U36099,U53587,U54190
U89:U6518,U33246,U64985
U90:U3191,U21690,U42479
U91:U7417,U23064,U32928
U92:U4296,U5703,U8539
U93:U12372,U65755,U71265
U94:U8288,U16696,U40985
U95:U34984,U58735,U64183
U96:U36082,U47068,U55131
U97:U3779,U5987,U22097
U98:U1646,U17861,U40206
U99:U3303,U9764,U68670
U100:U4659,U7353,U53725
U101:U4574,U41720,U46146
U102:U4311,U11521,U42033
U103:U15467,U19247,U23823
U104:U2574,U4946,U46723
U105:U11692,U20096,U30567
U106:U2556,U13747,U36987
U107:U9499,U30718,U65655
U108:U5052,U16333,U25865
U109:U35588,U38047,U43573
U110:U59362,U72001,U72796
U111:U2622,U36272,U40386
U112:U979,U39449,U62065
U113:U1504,U40245,U51270
U114:U588,U10854,U11229
U115:U1658,U5903,U12878
U116:U7984,U20123,U70176
U117:U29299,U41777,U42024
U118:U336,U4629,U18182
U119:U40777,U54910,U66881
U120:U12237,U31822,U65972
U121:U259,U49249,U60281
U122:U6419,U52321,U69018
U123:U6884,U20512,U72335
U124:U327,U13766,U28820
U125:U14435,U52316,U57931
U126:U25218,U47150,U55396
U127:U14356,U38930,U51006
U128:U347,U6936,U54381
U129:U12,U33085,U48825
U130:U2182,U6459,U12579
U131:U21008,U33530,U34649
U132:U34255,U36725,U55775
U133:U13983,U18028,U23386
U134:U15098,U35237,U47991
U135:U8964,U16008,U54688
U136:U21677,U32251,U46332
U137:U4100,U10349,U16537
U138:U8814,U15319,U42182
U139:U8919,U12543,U70221
U140:U570,U7510,U41095
U141:U1898,U4340,U28826
U142:U12156,U34173,U57795
U143:U2187,U6550,U8514
U144:U59571,U64182,U70918
U145:U6311,U10481,U11543
U146:U56927,U67957,U68170
U147:U4207,U52701,U64792
U148:U5058,U58825,U64507
U149:U5649,U6088,U31641
U150:U15083,U43137,U50550
U151:U4494,U9356,U13830
U152:U10396,U30602,U37712
U153:U4528,U8042,U56865
U154:U42843,U52776,U68427
U155:U6481,U20826,U44653
U156:U1986,U34663,U55025
U157:U4493,U11126,U41131
U158:U2454,U3861,U6073
U159:U17610,U20759,U59158
U160:U54913,U65913,U67136
U161:U7696,U21010,U49537
U162:U43055,U46625,U65102
U163:U9132,U61881,U69012
U164:U4059,U16671,U20026
U165:U3109,U5890,U71087
U166:U4996,U11653,U37509
U167:U4981,U5547,U14428
U168:U9637,U11358,U17075
U169:U6027,U9145,U15054
U170:U216,U22363,U30459
U171:U7202,U7675,U60390
U172:U7349,U7605,U8447
U173:U1134,U8352,U73722
U174:U43122,U55259,U71831
U175:U27059,U51347,U67321
U176:U28786,U46033,U53033
U177:U4311,U11521,U13174
U178:U5166,U7758,U18458
U179:U2820,U25240,U37307
U180:U34902,U44465,U67637
U181:U2130,U17838,U23760
U182:U5420,U51401,U59418
U183:U3542,U19779,U57012
U184:U27455,U29758,U54670
U185:U9026,U9457,U50019
U186:U17668,U41007,U65756
U187:U35523,U52935,U72871
U188:U12547,U33161,U59224
U189:U15034,U32435,U55061
U190:U310,U50600,U56075
U191:U13524,U31196,U53440
U192:U30002,U63934,U71834
U193:U3574,U8270,U23065
U194:U1852,U30004,U70781
U195:U204,U18456,U42803
U196:U8319,U11005,U22555
U197:U1180,U9924,U39337
U198:U231,U7429,U44505
U199:U3607,U14497,U68206
U200:U40988,U67322,U70742
U201:U4202,U29675,U29973
U202:U1146,U40504,U65004
U203:U5956,U17867,U65672
U204:U195,U11200,U58654
U205:U2795,U10093,U30536
U206:U5003,U65992,U70442
U207:U15199,U17394,U66586
U208:U24086,U27387,U74925
U209:U3225,U4013,U8675
U210:U4808,U48943,U51399
U211:U4324,U5736,U36283
U212:U8820,U41382,U74659
U213:U10660,U38930,U65178
U214:U232,U33660,U43623
U215:U13082,U13790,U71767
U216:U170,U32367,U42885
U217:U8507,U8989,U20241
U218:U5977,U10562,U59437
U219:U6027,U30150,U62537
U220:U9333,U11187,U17589
U221:U2957,U5612,U66154
U222:U26772,U51746,U51786
U223:U6449,U35619,U38674
U224:U229,U6653,U7459
U225:U3039,U17326,U36589
U226:U9535,U16642,U53498
U227:U9082,U15568,U65688
U228:U8970,U35776,U44083
U229:U224,U6653,U7459
U230:U24668,U52455,U70240
U231:U198,U7429,U44505
U232:U214,U4377,U33660
U233:U32362,U36086,U65635
U234:U18571,U36264,U39981
U235:U278,U13171,U35247
U236:U40988,U67322,U70742
U237:U33502,U59486,U65338
U238:U13374,U20791,U28693
U239:U249,U13893,U73450
U240:U1975,U44140,U54553
U241:U19688,U41291,U70738
U242:U10438,U52270,U62221
U243:U10427,U14242,U50257
U244:U11161,U40530,U49520
U245:U11161,U46503,U52794
U246:U53311,U73895,U74240
U247:U1369,U1527,U55616
U248:U4423,U33388,U51177
U249:U239,U4038,U73450
U250:U5840,U11339,U67322
U251:U4674,U34987,U38291
U252:U48209,U61203,U72793
U253:U60864,U61725,U72887
U254:U6315,U52022,U54019
U255:U274,U773,U65363
U256:U4436,U8960,U18232
U257:U100,U1804,U4659
U258:U350,U7230,U28848
U259:U121,U52869,U65439
U260:U488,U497,U70000
U261:U286,U58187,U69896
U262:U6934,U37711,U48025
U263:U431,U5684,U68823
U264:U8197,U13031,U63980
U265:U1903,U6462,U52273
U266:U11411,U22198,U74505
U267:U409,U65313,U70102
U268:U517,U66555,U71223
U269:U21863,U27779,U28161
U270:U10279,U67687,U72566
U271:U19512,U68049,U69926
U272:U359,U461,U67327
U273:U1080,U2719,U60464
U274:U255,U773,U65363
U275:U310,U348,U352
U276:U434,U54926,U60129
U277:U52251,U67681,U70963
U278:U235,U8559,U35247
U279:U283,U367,U69476
U280:U354,U49934,U50482
U281:U20057,U29996,U74438
U282:U4627,U5654,U58984
U283:U279,U367,U8395
U284:U2961,U9030,U60614
U285:U351,U60094,U70613
U286:U261,U3749,U22507
U287:U2925,U25913,U28777
U288:U10733,U33911,U70399
U289:U3010,U5901,U21818
U290:U6632,U38175,U71021
U291:U2315,U3654,U28548
U292:U35529,U44852,U48722
U293:U665,U19912,U40591
U294:U2055,U54091,U69318
U295:U59407,U61445,U70848
U296:U4540,U4574,U14872
U297:U14322,U21852,U65104
U298:U11732,U20877,U65910
U299:U2477,U5592,U17028
U300:U51071,U52459,U59502
U301:U2342,U14929,U51504
U302:U2492,U3483,U53377
U303:U385,U45037,U47843
U304:U26742,U69935,U71171
U305:U10026,U43309,U59755
U306:U21201,U26619,U33960
U307:U394,U5660,U10499
U308:U1005,U24550,U49304
U309:U44671,U51635,U53972
U310:U275,U348,U352
U311:U8813,U11453,U50121
U312:U8673,U11649,U66749
U313:U12909,U42106,U57538
U314:U5787,U54656,U74213
U315:U282,U3488,U40617
U316:U5129,U33819,U37969
U317:U33154,U44586,U45539
U318:U11980,U28104,U52974
U319:U1845,U34235,U65893
U320:U5445,U43945,U53860
U321:U539,U1176,U7646
U322:U43491,U61465,U63238
U323:U41443,U54554,U67966
U324:U47433,U58647,U71231
U325:U490,U9924,U69836
U326:U13179,U30950,U34832
U327:U124,U774,U11930
U328:U11408,U27049,U57917
U329:U8689,U23898,U56948
U330:U7002,U38729,U39475
